Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Kamila Walsh;Pria;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Tidak;5;DKV
Kamila Young;Wanita;Kos;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Ya;4,5;FISIP
Karen Gonzales;Pria;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Ya;4,5;FTI
Karen Mann;Wanita;Kos;Belum;Beasiswa;2008;Bekasi;UKM_3;Tidak;7;FIKOM
Karen Powell;Wanita;Orang Tua;Bekerja;NA;2007;Bekasi;UKM_2;Ya;6;FT
Karen Spencer;Pria;Kos;Bekerja;NA;2008;Tangerang;UKM_2;Tidak;6;DKV
Karen Taylor;Pria;NA;Bekerja;Beasiswa;2007;Bogor;UKM_1;Tidak;3,5;FT
Karen Williams;Pria;Orang Tua;Bekerja;NA;2007;Karawang;UKM_2;Tidak;5;DKV
Karla Harper;Wanita;Orang Tua;Belum;Beasiswa;2008;Jakarta;UKM_3;Ya;6;FISIP
Karla Hastings;Wanita;Orang Tua;Bekerja;NA;2007;Jakarta;Tidak;Tidak;5;FTI
Karla Logan;Pria;NA;Belum;Orang Tua;2008;Serang;UKM_2;Tidak;3,5;FISIP
Karla Matthews;Pria;NA;Bekerja;Beasiswa;2008;Karawang;Tidak;Ya;4,5;DKV
Karla May;Pria;Kos;Bekerja;NA;2007;Karawang;UKM_4;Tidak;6;FT
Karla Morris;Wanita;NA;Belum;NA;2007;Jakarta;UKM_1;Tidak;5,5;FISIP
Karla Nicholls;Pria;Orang Tua;Belum;NA;2008;Serang;UKM_4;Tidak;4,5;FT
Karla Niles;Wanita;NA;Bekerja;NA;2007;Serang;Tidak;Ya;4;FIKOM
Karla Stone;Pria;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_4;Tidak;5,5;DKV
Karla Thorpe;Wanita;Kos;Bekerja;Orang Tua;2009;Tangerang;Tidak;Tidak;3,5;FTI
Karla Willis;Wanita;NA;Bekerja;Beasiswa;2009;Tangerang;UKM_1;Tidak;5,5;FISIP
Kassandra Allington;Pria;NA;Belum;Beasiswa;2007;Bekasi;UKM_3;Tidak;6;FTI
Kassandra Brett;Wanita;Orang Tua;Belum;Orang Tua;2009;Serang;Tidak;Tidak;5;FISIP
Kassandra Clifton;Wanita;NA;Belum;Beasiswa;2007;Bekasi;UKM_1;Ya;5,5;FT
Kassandra Flett;Wanita;NA;Bekerja;Beasiswa;2007;Serang;UKM_2;Ya;4;FTI
Kassandra Grey;Wanita;NA;Bekerja;Beasiswa;2008;Karawang;Tidak;Tidak;4;DKV
Kassandra Hope;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;UKM_4;Ya;6;FISIP
Kassandra King;Pria;Orang Tua;Belum;Orang Tua;2008;Bogor;UKM_3;Ya;4,5;FISIP
Kassandra Lakey;Wanita;NA;Belum;Orang Tua;2009;Jakarta;UKM_1;Tidak;3,5;FIKOM
Kassandra Lambert;Pria;Kos;Belum;Beasiswa;2007;Serang;UKM_4;Ya;7;DKV
Kassandra Mason;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_1;Ya;5,5;DKV
Kassandra Mcneill;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;Tidak;Ya;4;FTI
Kassandra Mitchell;Pria;Kos;Bekerja;Orang Tua;2008;Karawang;UKM_1;Tidak;6;FTI
Kassandra Nurton;Wanita;Orang Tua;Belum;Beasiswa;2007;Bogor;Tidak;Tidak;5;FISIP
Kassandra Parsons;Wanita;Kos;Bekerja;NA;2007;Bogor;UKM_4;Tidak;6,5;DKV
Kassandra Shaw;Wanita;Kos;Bekerja;NA;2007;Tangerang;UKM_2;Tidak;6;FT
Kassandra Truscott;Wanita;Orang Tua;Belum;NA;2009;Bogor;Tidak;Tidak;4,5;FIKOM
Kassandra Ulyatt;Pria;Kos;Belum;NA;2007;Tangerang;UKM_4;Tidak;5;DKV
Kassandra York;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Karawang;UKM_4;Tidak;4;FIKOM
Kate Eaton;Wanita;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_3;Tidak;6;FIKOM
Kate Fowler;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Bekasi;UKM_1;Ya;4,5;FIKOM
Kate Gosling;Pria;Kos;Bekerja;Orang Tua;2008;Bekasi;Tidak;Tidak;6;FTI
Kate Hewitt;Wanita;Kos;Bekerja;Beasiswa;2008;Karawang;Tidak;Tidak;5,5;DKV
Kate Nielson;Wanita;Kos;Bekerja;NA;2007;Bekasi;UKM_1;Ya;5;FIKOM
Kate Patel;Pria;NA;Bekerja;Orang Tua;2009;Karawang;UKM_1;Ya;4;DKV
Kate Rossi;Wanita;NA;Belum;Orang Tua;2009;Jakarta;Tidak;Tidak;6;FT
Kate Shaw;Wanita;Orang Tua;Belum;Orang Tua;2009;Karawang;UKM_2;Tidak;4,5;DKV
Kate Sherry;Pria;Kos;Belum;NA;2008;Tangerang;UKM_1;Ya;5,5;FISIP
Kate Swan;Pria;Kos;Belum;Orang Tua;2007;Bogor;UKM_1;Tidak;6,5;DKV
Kate Turner;Pria;NA;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;5;FTI
Kate Whitehouse;Pria;NA;Belum;Beasiswa;2008;Jakarta;UKM_4;Ya;6;FISIP
Kate Willis;Pria;Orang Tua;Belum;Orang Tua;2008;Karawang;UKM_4;Tidak;6,5;FIKOM
Kate Wilson;Wanita;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_4;Tidak;7;FTI
Katelyn Ebden;Wanita;Orang Tua;Belum;NA;2009;Bogor;UKM_4;Tidak;5,5;FIKOM
Katelyn Harrison;Wanita;Orang Tua;Belum;Orang Tua;2009;Serang;Tidak;Ya;4;FTI
Katelyn Holmes;Wanita;NA;Belum;Orang Tua;2007;Serang;Tidak;Tidak;6,5;FIKOM
Katelyn Khan;Pria;Orang Tua;Belum;Beasiswa;2008;Jakarta;UKM_4;Tidak;4;FISIP
Katelyn Norburn;Pria;Kos;Belum;Beasiswa;2009;Jakarta;UKM_4;Tidak;5;FIKOM
Katelyn Stewart;Wanita;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_1;Tidak;6,5;DKV
Katelyn Vass;Pria;Kos;Belum;Beasiswa;2007;Karawang;UKM_3;Tidak;5;FTI
Katelyn Wallace;Pria;Orang Tua;Belum;Orang Tua;2007;Bogor;Tidak;Ya;7;DKV
Kaylee Armstrong;Pria;NA;Bekerja;Beasiswa;2007;Jakarta;UKM_2;Ya;3,5;FTI
Kaylee Funnell;Wanita;Orang Tua;Belum;NA;2009;Karawang;UKM_3;Ya;7;FT
Kaylee Furnell;Pria;Kos;Belum;NA;2007;Jakarta;UKM_1;Ya;5;FTI
Kaylee Gunn;Pria;NA;Bekerja;NA;2007;Serang;UKM_4;Tidak;5,5;FT
Kaylee Hale;Wanita;Kos;Belum;Beasiswa;2008;Tangerang;Tidak;Ya;6,5;FIKOM
Kaylee Kerr;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Jakarta;UKM_2;Tidak;6;FT
Kaylee Lindop;Wanita;Kos;Belum;NA;2007;Karawang;UKM_3;Tidak;5;DKV
Kaylee Murray;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Karawang;UKM_2;Ya;4,5;DKV
Kaylee Partridge;Pria;Kos;Belum;Beasiswa;2009;Tangerang;Tidak;Tidak;6,5;FIKOM
Kaylee Redden;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;7;FTI
Kaylee Shepherd;Pria;Kos;Bekerja;NA;2007;Karawang;Tidak;Ya;7;FISIP
Kaylee Ventura;Wanita;Kos;Bekerja;NA;2008;Serang;UKM_2;Ya;7;FISIP
Keira Durrant;Wanita;Kos;Bekerja;NA;2007;Tangerang;UKM_2;Tidak;6;FTI
Keira Emmott;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_2;Ya;6;FTI
Keira Farrant;Wanita;Kos;Belum;Orang Tua;2009;Tangerang;UKM_1;Tidak;3,5;DKV
Keira Gonzales;Wanita;NA;Belum;Orang Tua;2009;Bekasi;Tidak;Ya;5;FT
Keira Hudson;Pria;Orang Tua;Belum;NA;2007;Tangerang;UKM_4;Tidak;4;DKV
Keira Milner;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bogor;UKM_1;Tidak;3,5;DKV
Keira Neville;Wanita;NA;Bekerja;Beasiswa;2008;Karawang;UKM_3;Tidak;3,5;FT
Keira Olivier;Wanita;Kos;Belum;Beasiswa;2009;Jakarta;Tidak;Ya;3,5;FISIP
Keira Owen;Pria;Kos;Belum;Beasiswa;2008;Jakarta;UKM_3;Tidak;5,5;FIKOM
Keira Parker;Pria;NA;Belum;NA;2009;Jakarta;UKM_2;Tidak;7;FT
Keira Patel;Wanita;Kos;Bekerja;Beasiswa;2007;Jakarta;UKM_3;Ya;7;FTI
Keira Rigg;Wanita;NA;Belum;NA;2007;Tangerang;UKM_3;Tidak;4,5;FTI
Keira Simpson;Pria;Kos;Bekerja;Beasiswa;2007;Bekasi;UKM_4;Ya;7;FTI
Kendra Appleton;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Tangerang;UKM_1;Tidak;4;FISIP
Kendra Bolton;Pria;Orang Tua;Belum;Beasiswa;2007;Jakarta;UKM_2;Ya;6;FISIP
Kendra Cadman;Wanita;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_3;Tidak;7;FIKOM
Kendra Isaac;Wanita;Kos;Bekerja;NA;2009;Bekasi;UKM_4;Tidak;3,5;FISIP
Kendra Leigh;Wanita;NA;Belum;Orang Tua;2009;Jakarta;UKM_2;Ya;5;FT
Kendra Lindsay;Wanita;NA;Belum;Beasiswa;2007;Serang;UKM_3;Tidak;4;FTI
Kendra Mccormick;Pria;NA;Bekerja;Orang Tua;2007;Serang;Tidak;Tidak;6,5;FTI
Kendra Morgan;Wanita;NA;Belum;Orang Tua;2007;Jakarta;UKM_4;Ya;5,5;FISIP
Kendra Pearson;Wanita;NA;Belum;Orang Tua;2009;Karawang;Tidak;Ya;5,5;FIKOM
Kendra Reese;Pria;Kos;Bekerja;Orang Tua;2009;Bekasi;UKM_4;Ya;6;FT
Kendra Weatcroft;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_3;Tidak;6,5;FTI
Kendra Wright;Wanita;NA;Bekerja;Orang Tua;2008;Jakarta;UKM_4;Ya;7;FIKOM
Kenzie Baldwin;Pria;NA;Belum;Orang Tua;2009;Tangerang;UKM_1;Tidak;5,5;FIKOM
Kenzie Bentley;Wanita;Kos;Belum;Beasiswa;2009;Serang;UKM_2;Tidak;5;FTI
Kenzie Clifton;Wanita;NA;Bekerja;Orang Tua;2009;Serang;UKM_4;Tidak;7;FTI
Kenzie Darcy;Pria;Kos;Belum;Orang Tua;2009;Serang;UKM_1;Tidak;6;FISIP
Kenzie Farrow;Wanita;NA;Bekerja;Beasiswa;2008;Karawang;Tidak;Ya;4,5;FISIP
Kenzie Jeffery;Wanita;NA;Belum;Beasiswa;2007;Tangerang;UKM_1;Ya;7;FIKOM
Kenzie Judd;Pria;Orang Tua;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;6,5;FT
Kenzie Matthews;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Karawang;Tidak;Tidak;6,5;FIKOM
Kenzie Oakley;Pria;Orang Tua;Bekerja;NA;2007;Bekasi;UKM_2;Tidak;4;FT
Kenzie Olson;Wanita;Orang Tua;Belum;NA;2008;Bogor;Tidak;Tidak;6;FT
Kenzie Quinton;Pria;NA;Belum;Beasiswa;2008;Karawang;Tidak;Ya;3,5;FT
Kenzie Raven;Wanita;Kos;Belum;NA;2009;Karawang;UKM_1;Ya;4,5;FT
Kenzie Shields;Pria;Orang Tua;Belum;Beasiswa;2008;Jakarta;UKM_1;Ya;4,5;FT
Kenzie Yarlett;Wanita;Kos;Belum;Orang Tua;2007;Serang;Tidak;Tidak;4,5;DKV
Kieth Adams;Wanita;NA;Belum;Beasiswa;2007;Bekasi;UKM_3;Tidak;4,5;FISIP
Kieth Bailey;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_4;Tidak;5;FT
Kieth Bradley;Wanita;Orang Tua;Belum;Orang Tua;2008;Jakarta;UKM_2;Tidak;6,5;DKV
Kieth Bullock;Pria;Kos;Belum;Orang Tua;2008;Serang;UKM_3;Tidak;5;FTI
Kieth Burnley;Wanita;Orang Tua;Belum;Beasiswa;2009;Jakarta;Tidak;Tidak;4,5;FIKOM
Kieth Chadwick;Pria;NA;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Tidak;6;FIKOM
Kieth Chapman;Wanita;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Tidak;6,5;FISIP
Kieth Coll;Pria;Orang Tua;Belum;NA;2009;Bogor;UKM_4;Tidak;6;DKV
Kieth Dale;Pria;Kos;Bekerja;Orang Tua;2009;Karawang;UKM_2;Ya;5,5;FISIP
Kieth Eaton;Pria;NA;Belum;Beasiswa;2007;Tangerang;Tidak;Tidak;4,5;FISIP
Kieth Farrant;Wanita;Kos;Bekerja;Orang Tua;2009;Serang;Tidak;Tidak;4;FTI
Kieth Gilbert;Pria;Orang Tua;Bekerja;Orang Tua;2008;Tangerang;UKM_4;Ya;3,5;DKV
Kieth Gordon;Wanita;Kos;Bekerja;Beasiswa;2007;Bogor;UKM_3;Ya;6,5;FTI
Kieth Hall;Wanita;NA;Belum;NA;2008;Karawang;UKM_1;Ya;4,5;DKV
Kieth Hill;Pria;NA;Belum;Beasiswa;2009;Serang;UKM_3;Ya;5,5;FISIP
Kieth Hood;Pria;NA;Belum;Beasiswa;2007;Bogor;UKM_2;Tidak;6,5;DKV
Kieth Jobson;Pria;Kos;Bekerja;NA;2009;Bekasi;UKM_1;Ya;5;FIKOM
Kieth Lowe;Wanita;Kos;Bekerja;NA;2009;Bekasi;UKM_1;Tidak;5,5;FTI
Kieth Mccall;Pria;Kos;Bekerja;NA;2009;Bogor;UKM_2;Tidak;7;DKV
Kieth Mcneill;Pria;Kos;Belum;Beasiswa;2008;Serang;UKM_3;Ya;7;FTI
Kieth Mullins;Pria;NA;Bekerja;NA;2008;Bogor;UKM_2;Tidak;6,5;FIKOM
Kieth Norris;Pria;NA;Belum;Orang Tua;2007;Jakarta;Tidak;Ya;5;FTI
Kieth Notman;Pria;NA;Bekerja;Orang Tua;2007;Serang;UKM_3;Tidak;5,5;FTI
Kieth Olivier;Pria;Kos;Bekerja;Orang Tua;2008;Serang;UKM_2;Ya;7;DKV
Kieth Pearson;Pria;Kos;Belum;NA;2009;Bekasi;UKM_2;Ya;4;FT
Kieth Porter;Wanita;Kos;Bekerja;Beasiswa;2008;Jakarta;UKM_4;Tidak;4,5;FTI
Kieth Powell;Wanita;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Ya;6,5;FTI
Kieth Rehman;Pria;Orang Tua;Bekerja;Beasiswa;2009;Serang;Tidak;Tidak;5,5;FT
Kieth Richards;Wanita;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;6;FIKOM
Kieth Richardson;Pria;Kos;Belum;NA;2009;Tangerang;UKM_4;Tidak;4,5;FIKOM
Kieth Robinson;Pria;NA;Belum;NA;2008;Karawang;UKM_4;Tidak;6,5;FISIP
Kieth Rosenbloom;Wanita;NA;Bekerja;Beasiswa;2007;Bogor;UKM_3;Tidak;6,5;FT
Kieth Samuel;Pria;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_3;Tidak;5,5;FTI
Kieth Sanchez;Pria;Kos;Belum;Beasiswa;2007;Bekasi;UKM_3;Tidak;7;FISIP
Kieth Sloan;Wanita;NA;Bekerja;Orang Tua;2008;Tangerang;Tidak;Ya;7;DKV
Kieth Speed;Pria;Orang Tua;Belum;Beasiswa;2009;Bekasi;UKM_1;Tidak;3,5;FIKOM
Kieth Stanley;Pria;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_4;Ya;3,5;FIKOM
Kieth Stewart;Pria;Orang Tua;Belum;Beasiswa;2007;Bekasi;UKM_3;Tidak;5;FISIP
Kieth Swan;Pria;Kos;Belum;Beasiswa;2009;Karawang;UKM_1;Tidak;4;FIKOM
Kieth Tyrrell;Pria;NA;Belum;Orang Tua;2009;Tangerang;UKM_2;Tidak;5,5;DKV
Kieth Vaughan;Pria;Orang Tua;Bekerja;NA;2009;Karawang;UKM_3;Ya;7;DKV
Kieth Ventura;Pria;Kos;Bekerja;Beasiswa;2007;Bogor;UKM_4;Ya;7;FTI
Kieth Walker;Wanita;Orang Tua;Bekerja;NA;2007;Jakarta;UKM_4;Ya;6,5;DKV
Kieth Warren;Pria;Kos;Bekerja;NA;2009;Jakarta;UKM_2;Tidak;4;FT
Kieth Welsch;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Ya;3,5;FTI
Kimberly Ainsworth;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Ya;5,5;FIKOM
Kimberly Ashley;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Bekasi;UKM_3;Ya;3,5;FISIP
Kimberly Briggs;Pria;Kos;Belum;Orang Tua;2009;Karawang;UKM_4;Ya;6;FISIP
Kimberly Cowan;Wanita;Kos;Bekerja;Orang Tua;2007;Karawang;UKM_2;Ya;4,5;FT
Kimberly Donnelly;Pria;Orang Tua;Belum;Orang Tua;2008;Bogor;UKM_3;Tidak;5,5;DKV
Kimberly Ebden;Wanita;Kos;Bekerja;NA;2008;Bogor;UKM_1;Ya;5,5;FIKOM
Kimberly Ellis;Wanita;Kos;Belum;Beasiswa;2008;Bekasi;UKM_1;Ya;6,5;FT
Kimberly Irwin;Pria;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_1;Tidak;4;FTI
Kimberly Kelly;Pria;Orang Tua;Bekerja;NA;2008;Bogor;UKM_4;Tidak;4;DKV
Kimberly Morrow;Pria;Orang Tua;Bekerja;Orang Tua;2008;Karawang;UKM_1;Tidak;6;DKV
Kimberly Mullins;Wanita;NA;Bekerja;Orang Tua;2007;Tangerang;UKM_2;Ya;4;FIKOM
Kimberly Veale;Wanita;Kos;Belum;Beasiswa;2008;Jakarta;UKM_1;Tidak;4,5;FTI
Kimberly Wills;Pria;NA;Bekerja;Beasiswa;2007;Jakarta;UKM_4;Tidak;7;FISIP
Kimberly Wooldridge;Wanita;NA;Belum;Beasiswa;2008;Bekasi;UKM_2;Tidak;4;DKV
Kirsten Barclay;Pria;Orang Tua;Belum;Orang Tua;2007;Karawang;UKM_2;Ya;4;FT
Kirsten Chapman;Pria;NA;Belum;NA;2007;Bekasi;UKM_1;Ya;5,5;FTI
Kirsten Cowan;Wanita;Kos;Belum;Orang Tua;2007;Serang;UKM_1;Ya;5,5;FTI
Kirsten Douglas;Wanita;NA;Belum;Orang Tua;2008;Bogor;Tidak;Ya;6;DKV
Kirsten Flack;Pria;NA;Bekerja;NA;2009;Bekasi;Tidak;Ya;5;FTI
Kirsten Graham;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Tidak;3,5;FTI
Kirsten Hammond;Wanita;NA;Belum;Beasiswa;2007;Bogor;UKM_2;Tidak;7;FISIP
Kirsten Jones;Pria;NA;Bekerja;NA;2007;Bogor;UKM_4;Ya;7;FISIP
Kirsten King;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Bekasi;Tidak;Ya;4;FISIP
Kirsten Mitchell;Pria;Orang Tua;Belum;NA;2008;Bekasi;UKM_3;Tidak;4;FT
Kirsten Nielson;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_3;Tidak;5;FT
Kirsten Noach;Wanita;Kos;Bekerja;Orang Tua;2009;Bogor;Tidak;Tidak;6;DKV
Kirsten Norman;Pria;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_2;Tidak;6,5;FT
Kirsten Pearson;Wanita;Orang Tua;Belum;Orang Tua;2007;Karawang;UKM_2;Ya;7;FT
Kirsten Poulton;Pria;NA;Bekerja;NA;2009;Jakarta;Tidak;Tidak;6;FIKOM
Kirsten Ranks;Pria;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_1;Tidak;4,5;FT
Kirsten Robinson;Pria;Kos;Belum;NA;2009;Bogor;UKM_1;Ya;7;FIKOM
Kirsten Scott;Wanita;NA;Bekerja;Beasiswa;2008;Bogor;UKM_3;Ya;5;FT
Kirsten Upton;Wanita;Kos;Bekerja;Beasiswa;2007;Karawang;Tidak;Ya;6;DKV
Kirsten Yard;Wanita;Kos;Bekerja;NA;2007;Jakarta;Tidak;Ya;4;DKV
Kurt Ainsworth;Pria;Orang Tua;Belum;Orang Tua;2009;Karawang;UKM_4;Tidak;3,5;FISIP
Kurt Andersson;Wanita;Orang Tua;Belum;Beasiswa;2007;Serang;UKM_3;Tidak;5;FT
Kurt Boden;Pria;NA;Belum;Beasiswa;2009;Karawang;UKM_3;Ya;6,5;FISIP
Kurt Bowen;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bogor;UKM_1;Tidak;6,5;DKV
Kurt Broomfield;Pria;NA;Belum;Beasiswa;2008;Karawang;UKM_3;Ya;4;FIKOM
Kurt Bryant;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_4;Ya;5,5;FTI
Kurt Butler;Wanita;Orang Tua;Belum;Orang Tua;2008;Tangerang;Tidak;Ya;4,5;FISIP
Kurt Chadwick;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_2;Tidak;7;FISIP
Kurt Coates;Pria;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_1;Ya;5;DKV
Kurt Corbett;Wanita;Kos;Bekerja;Beasiswa;2009;Tangerang;UKM_2;Ya;5;FISIP
Kurt Davies;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Tidak;6;FIKOM
Kurt Exton;Wanita;NA;Belum;Beasiswa;2007;Serang;UKM_3;Ya;3,5;FTI
Kurt Gunn;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Serang;UKM_1;Tidak;7;FT
Kurt Herbert;Wanita;NA;Belum;Beasiswa;2007;Serang;UKM_2;Tidak;5;FTI
Kurt Hudson;Wanita;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;3,5;FIKOM
Kurt Jenkins;Wanita;Kos;Bekerja;NA;2007;Karawang;UKM_4;Ya;6;FIKOM
Kurt Mcleod;Pria;Kos;Bekerja;NA;2008;Serang;Tidak;Tidak;4;FIKOM
Kurt Morley;Pria;Kos;Bekerja;NA;2009;Tangerang;UKM_1;Tidak;3,5;FIKOM
Kurt Mould;Pria;Kos;Belum;NA;2009;Serang;UKM_2;Ya;5,5;FISIP
Kurt Murphy;Pria;NA;Belum;Orang Tua;2008;Tangerang;Tidak;Tidak;3,5;FT
Kurt Murray;Wanita;Orang Tua;Belum;NA;2008;Serang;UKM_3;Tidak;3,5;DKV
Kurt Powell;Pria;Kos;Bekerja;NA;2008;Bekasi;UKM_4;Tidak;4,5;FIKOM
Kurt Quinton;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;6;DKV
Kurt Rees;Pria;NA;Belum;Beasiswa;2009;Tangerang;UKM_3;Ya;5,5;FISIP
Kurt Reese;Pria;Kos;Bekerja;Orang Tua;2007;Karawang;UKM_2;Ya;5;FIKOM
Kurt Rivers;Wanita;Kos;Bekerja;Beasiswa;2007;Serang;UKM_1;Tidak;4,5;FIKOM
Kurt Rixon;Pria;Kos;Belum;Orang Tua;2007;Bekasi;UKM_3;Tidak;7;FT
Kurt Spencer;Pria;NA;Bekerja;NA;2009;Bogor;UKM_1;Ya;6;FIKOM
Kurt Stone;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;Tidak;Ya;6,5;DKV
Kurt Stuart;Pria;Orang Tua;Belum;Orang Tua;2008;Bogor;UKM_2;Tidak;6;DKV
Kurt Torres;Pria;Kos;Bekerja;NA;2007;Tangerang;Tidak;Tidak;5,5;FT
Kurt Truscott;Pria;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;4;FISIP
Kurt Upton;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Karawang;Tidak;Tidak;6;FT
Kurt Uttley;Pria;Kos;Bekerja;Orang Tua;2009;Karawang;Tidak;Tidak;4;DKV
Kurt Walter;Wanita;NA;Belum;Beasiswa;2008;Bekasi;UKM_2;Ya;7;DKV
Kurt Weatcroft;Wanita;Orang Tua;Belum;Orang Tua;2008;Karawang;UKM_4;Tidak;4,5;FISIP
Kurt Webster;Wanita;Orang Tua;Belum;NA;2008;Karawang;UKM_4;Ya;4;FTI
Kurt Whinter;Wanita;Kos;Bekerja;Beasiswa;2008;Bekasi;UKM_1;Tidak;5,5;FISIP
Kurt Whitehouse;Wanita;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Ya;6,5;DKV
Laila Bristow;Pria;Orang Tua;Belum;Beasiswa;2009;Serang;Tidak;Tidak;7;FT
Laila Bryson;Wanita;Orang Tua;Belum;NA;2007;Tangerang;Tidak;Tidak;5;FIKOM
Laila Cavanagh;Pria;Orang Tua;Bekerja;Orang Tua;2008;Serang;UKM_4;Ya;4,5;FISIP
Laila Driscoll;Wanita;Kos;Belum;NA;2008;Serang;UKM_1;Ya;4;FTI
Laila Flanders;Wanita;Kos;Bekerja;NA;2008;Jakarta;UKM_3;Tidak;3,5;FTI
Laila Garner;Pria;Kos;Belum;NA;2008;Bekasi;UKM_1;Ya;5,5;FT
Laila Gibson;Pria;NA;Bekerja;Beasiswa;2008;Bogor;UKM_4;Ya;5;FT
Laila Healy;Pria;Kos;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;6;DKV
Laila Irving;Wanita;NA;Belum;Orang Tua;2007;Bogor;UKM_3;Ya;7;FISIP
Laila Leslie;Wanita;Kos;Bekerja;NA;2007;Bogor;Tidak;Ya;6;FTI
Laila Mason;Wanita;Kos;Bekerja;Beasiswa;2007;Bekasi;UKM_3;Ya;7;FIKOM
Laila Reynolds;Wanita;NA;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;5;DKV
Laila Rossi;Pria;Orang Tua;Bekerja;NA;2009;Karawang;Tidak;Tidak;5;FIKOM
Laila Skinner;Wanita;Kos;Belum;Orang Tua;2009;Serang;Tidak;Ya;5,5;FISIP
Laila Stevenson;Wanita;NA;Bekerja;Orang Tua;2007;Bogor;UKM_4;Tidak;5,5;FIKOM
Laila Thompson;Wanita;Kos;Bekerja;Orang Tua;2007;Bogor;UKM_4;Ya;5,5;FIKOM
Laila Vangness;Pria;Kos;Belum;NA;2007;Bogor;Tidak;Ya;4;DKV
Laila Walter;Pria;Kos;Bekerja;NA;2007;Serang;UKM_4;Ya;7;FTI
Laila Watson;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Ya;7;FTI
Laila Wellington;Wanita;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_4;Ya;6,5;FISIP
Lana Butler;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;UKM_4;Tidak;5;FTI
Lana Edwards;Pria;Orang Tua;Belum;NA;2008;Karawang;UKM_2;Tidak;5;FISIP
Lana Judd;Wanita;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_1;Ya;6,5;FTI
Lana Lee;Wanita;NA;Bekerja;NA;2009;Serang;UKM_1;Ya;4,5;FIKOM
